code,course_id,type
MATH 6520,FA25-MATH-6520-1,primary
MATH 6530,FA25-MATH-6530-1,primary
MATH 6710,FA25-MATH-6710-1,primary
MATH 6840,FA25-MATH-6840-1,primary
MATH 7130,FA25-MATH-7130-1,primary
MATH 7290,FA25-MATH-7290-2,primary
CS 7290,FA25-MATH-7290-2,cross_listing
MATH 7370,FA25-MATH-7370-1,primary
MATH 7410,FA25-MATH-7410-1,primary
MATH 7670,FA25-MATH-7670-1,primary
MATH 7740,FA25-MATH-7740-1,primary
MATH 7810,FA25-MATH-7810-1,primary
MATH 7900,FA25-MATH-7900-1,primary
PHYS 1012,FA25-PHYS-1012-1,primary
PHYS 1013,FA25-PHYS-1013-1,primary
PHYS 1101,FA25-PHYS-1101-1,primary
PHYS 1110,FA25-PHYS-1110-1,primary
PHYS 1112,FA25-PHYS-1112-1,primary
PHYS 1116,FA25-PHYS-1116-1,primary
PHYS 1190,FA25-PHYS-1190-1,primary
PHYS 1201,FA25-PHYS-1201-1,primary
PHYS 1205,FA25-PHYS-1205-1,primary
PHYS 2207,FA25-PHYS-2207-1,primary
PHYS 2210,FA25-PHYS-2210-1,primary
PHYS 2213,FA25-PHYS-2213-1,primary
PHYS 2214,FA25-PHYS-2214-1,primary
PHYS 2216,FA25-PHYS-2216-1,primary
PHYS 2217,FA25-PHYS-2217-1,primary
AEP 2170,FA25-PHYS-2217-1,cross_listing
PHYS 2218,FA25-PHYS-2218-1,primary
PHYS 3310,FA25-PHYS-3310-1,primary
PHYS 3316,FA25-PHYS-3316-1,primary
PHYS 3317,FA25-PHYS-3317-1,primary
PHYS 3327,FA25-PHYS-3327-1,primary
PHYS 4230,FA25-PHYS-4230-2,primary
AEP 4230,FA25-PHYS-4230-2,cross_listing
AEP 5230,FA25-PHYS-4230-2,cross_listing
PHYS 4400,FA25-PHYS-4400-1,primary
PHYS 4410,FA25-PHYS-4400-1,cross_listing
PHYS 6500,FA25-PHYS-4400-1,cross_listing
PHYS 6510,FA25-PHYS-4400-1,cross_listing
PHYS 4410,FA25-PHYS-4410-1,primary
PHYS 4400,FA25-PHYS-4410-1,cross_listing
PHYS 6500,FA25-PHYS-4410-1,cross_listing
PHYS 6510,FA25-PHYS-4410-1,cross_listing
PHYS 4445,FA25-PHYS-4445-1,primary
ASTRO 4445,FA25-PHYS-4445-1,cross_listing
PHYS 4454,FA25-PHYS-4454-1,primary
AEP 4500,FA25-PHYS-4454-1,cross_listing
AEP 5502,FA25-PHYS-4454-1,cross_listing
PHYS 4480,FA25-PHYS-4480-1,primary
ASTRO 7690,FA25-PHYS-4480-1,cross_listing
PHYS 7680,FA25-PHYS-4480-1,cross_listing
PHYS 4484,FA25-PHYS-4484-1,primary
PHYS 7684,FA25-PHYS-4484-1,cross_listing
PHYS 4485,FA25-PHYS-4485-1,primary
PHYS 4486,FA25-PHYS-4486-1,primary
PHYS 4487,FA25-PHYS-4487-1,primary
PHYS 4490,FA25-PHYS-4490-1,primary
PHYS 4498,FA25-PHYS-4498-1,primary
PHYS 4997,FA25-PHYS-4997-1,primary
PHYS 5520,FA25-PHYS-5520-1,primary
MSE 5625,FA25-PHYS-5520-1,cross_listing
PHYS 6500,FA25-PHYS-6500-1,primary
PHYS 4400,FA25-PHYS-6500-1,cross_listing
PHYS 4410,FA25-PHYS-6500-1,cross_listing
PHYS 6510,FA25-PHYS-6500-1,cross_listing
PHYS 6510,FA25-PHYS-6510-1,primary
PHYS 4400,FA25-PHYS-6510-1,cross_listing
PHYS 4410,FA25-PHYS-6510-1,cross_listing
PHYS 6500,FA25-PHYS-6510-1,cross_listing
PHYS 6520,FA25-PHYS-6520-1,primary
PHYS 6561,FA25-PHYS-6561-1,primary
PHYS 6572,FA25-PHYS-6572-1,primary
PHYS 7601,FA25-PHYS-7601-2,primary
MAE 6010,FA25-PHYS-7601-2,cross_listing
PHYS 7635,FA25-PHYS-7635-1,primary
PHYS 7651,FA25-PHYS-7651-1,primary
PHYS 7653,FA25-PHYS-7653-1,primary
PHYS 7667,FA25-PHYS-7667-2,primary
ASTRO 4431,FA25-PHYS-7667-2,cross_listing
ASTRO 6560,FA25-PHYS-7667-2,cross_listing
PHYS 7680,FA25-PHYS-7680-1,primary
ASTRO 7690,FA25-PHYS-7680-1,cross_listing
PHYS 4480,FA25-PHYS-7680-1,cross_listing
PHYS 7684,FA25-PHYS-7684-1,primary
PHYS 4484,FA25-PHYS-7684-1,cross_listing
PHYS 7685,FA25-PHYS-7685-1,primary
PHYS 7687,FA25-PHYS-7687-1,primary
PHYS 7690,FA25-PHYS-7690-1,primary
