from_course_id,to_course_id,type,confidence,raw_text
FA25-MATH-2940-1,FA25-MATH-3110-1,or_group,0.29999999999999993,"a semester of linear algebra (MATH 2210, MATH 2230, MATH 2310, or MATH 2940) and a semester of multivariable calculus (MATH 2220, MATH 2240, or MATH 1920), or equivalent."
FA25-MATH-2220-1,FA25-MATH-3110-1,or_group,0.29999999999999993,"a semester of linear algebra (MATH 2210, MATH 2230, MATH 2310, or MATH 2940) and a semester of multivariable calculus (MATH 2220, MATH 2240, or MATH 1920), or equivalent."
FA25-MATH-1920-1,FA25-MATH-3110-1,or_group,0.29999999999999993,"a semester of linear algebra (MATH 2210, MATH 2230, MATH 2310, or MATH 2940) and a semester of multivariable calculus (MATH 2220, MATH 2240, or MATH 1920), or equivalent."
FA25-MATH-2210-1,FA25-MATH-3210-1,or_group,0.29999999999999993,"a semester of linear algebra (MATH 2210, MATH 2230, MATH 2310, or MATH 2940) and a semester of multivariable calculus (MATH 2220, MATH 2240, or MATH 1920), or equivalent."
FA25-MATH-2230-1,FA25-MATH-3210-1,or_group,0.29999999999999993,"a semester of linear algebra (MATH 2210, MATH 2230, MATH 2310, or MATH 2940) and a semester of multivariable calculus (MATH 2220, MATH 2240, or MATH 1920), or equivalent."
FA25-MATH-2310-1,FA25-MATH-3210-1,or_group,0.29999999999999993,"a semester of linear algebra (MATH 2210, MATH 2230, MATH 2310, or MATH 2940) and a semester of multivariable calculus (MATH 2220, MATH 2240, or MATH 1920), or equivalent."
FA25-MATH-2940-1,FA25-MATH-3210-1,or_group,0.29999999999999993,"a semester of linear algebra (MATH 2210, MATH 2230, MATH 2310, or MATH 2940) and a semester of multivariable calculus (MATH 2220, MATH 2240, or MATH 1920), or equivalent."
FA25-MATH-2220-1,FA25-MATH-3210-1,or_group,0.29999999999999993,"a semester of linear algebra (MATH 2210, MATH 2230, MATH 2310, or MATH 2940) and a semester of multivariable calculus (MATH 2220, MATH 2240, or MATH 1920), or equivalent."
FA25-MATH-1920-1,FA25-MATH-3210-1,or_group,0.29999999999999993,"a semester of linear algebra (MATH 2210, MATH 2230, MATH 2310, or MATH 2940) and a semester of multivariable calculus (MATH 2220, MATH 2240, or MATH 1920), or equivalent."
FA25-MATH-2210-1,FA25-MATH-3270-1,or_group,0.29999999999999993,"a semester of linear algebra (MATH 2210, MATH 2230, MATH 2310, or MATH 2940) and a semester of multivariable calculus (MATH 2220, MATH 2240, or MATH 1920), or equivalent."
FA25-MATH-2230-1,FA25-MATH-3270-1,or_group,0.29999999999999993,"a semester of linear algebra (MATH 2210, MATH 2230, MATH 2310, or MATH 2940) and a semester of multivariable calculus (MATH 2220, MATH 2240, or MATH 1920), or equivalent."
FA25-MATH-2310-1,FA25-MATH-3270-1,or_group,0.29999999999999993,"a semester of linear algebra (MATH 2210, MATH 2230, MATH 2310, or MATH 2940) and a semester of multivariable calculus (MATH 2220, MATH 2240, or MATH 1920), or equivalent."
FA25-MATH-2940-1,FA25-MATH-3270-1,or_group,0.29999999999999993,"a semester of linear algebra (MATH 2210, MATH 2230, MATH 2310, or MATH 2940) and a semester of multivariable calculus (MATH 2220, MATH 2240, or MATH 1920), or equivalent."
FA25-MATH-2220-1,FA25-MATH-3270-1,or_group,0.29999999999999993,"a semester of linear algebra (MATH 2210, MATH 2230, MATH 2310, or MATH 2940) and a semester of multivariable calculus (MATH 2220, MATH 2240, or MATH 1920), or equivalent."
FA25-MATH-1920-1,FA25-MATH-3270-1,or_group,0.29999999999999993,"a semester of linear algebra (MATH 2210, MATH 2230, MATH 2310, or MATH 2940) and a semester of multivariable calculus (MATH 2220, MATH 2240, or MATH 1920), or equivalent."
FA25-MATH-2210-1,FA25-MATH-3320-1,or_group,0.6000000000000001,"MATH 2210, MATH 2230, MATH 2310, MATH 2940, or equivalent."
FA25-MATH-2230-1,FA25-MATH-3320-1,or_group,0.6000000000000001,"MATH 2210, MATH 2230, MATH 2310, MATH 2940, or equivalent."
FA25-MATH-2310-1,FA25-MATH-3320-1,or_group,0.6000000000000001,"MATH 2210, MATH 2230, MATH 2310, MATH 2940, or equivalent."
FA25-MATH-2940-1,FA25-MATH-3320-1,or_group,0.6000000000000001,"MATH 2210, MATH 2230, MATH 2310, MATH 2940, or equivalent."
FA25-MATH-2210-1,FA25-MATH-4040-1,or_group,0.29999999999999993,"a semester of linear algebra (MATH 2210, MATH 2230, MATH 2310, or MATH 2940) and a semester of multivariable calculus (MATH 2220, MATH 2240, or MATH 1920), or equivalent."
FA25-MATH-2230-1,FA25-MATH-4040-1,or_group,0.29999999999999993,"a semester of linear algebra (MATH 2210, MATH 2230, MATH 2310, or MATH 2940) and a semester of multivariable calculus (MATH 2220, MATH 2240, or MATH 1920), or equivalent."
FA25-MATH-2310-1,FA25-MATH-4040-1,or_group,0.29999999999999993,"a semester of linear algebra (MATH 2210, MATH 2230, MATH 2310, or MATH 2940) and a semester of multivariable calculus (MATH 2220, MATH 2240, or MATH 1920), or equivalent."
